Date,Open,High,Low,Close,Volume
2021-03-12,318.81786167127814,321.4314603327191,313.47499755328505,319.2229309082031,426800
2021-03-15,320.6598811092778,330.10155775602607,318.73104180266745,329.4843444824219,340700
2021-03-16,335.0779522038225,339.38890904487994,328.2594984862925,330.4583740234375,262400
2021-03-17,323.53391655208105,344.0471154240293,319.03006306554624,339.6686706542969,694000
2021-03-18,332.9177551952823,337.99058376338587,323.6496648203997,323.8136291503906,506700
2021-03-19,330.32345965996115,337.3444351483656,324.8551860376828,330.9696044921875,1149900
2021-03-22,335.28051371258795,343.25628372705904,331.5385604459238,335.8495178222656,410200
2021-03-23,335.94598481622126,337.4504773282563,321.63399871983887,324.7201538085937,446900
2021-03-24,326.67791631908,326.89008984382224,319.09756169124813,319.2132873535156,255000
2021-03-25,315.03735891177416,321.055328730651,306.64689531820125,319.78228759765625,271300
2021-03-26,306.04889617720494,338.69450380033595,306.04889617720494,338.4823303222656,386900
2021-03-29,337.8748251018748,338.35703499602573,324.0450488694364,328.42352294921875,536800
2021-03-30,326.549237666276,333.14783798711693,322.607472858992,330.9837341308594,360500
2021-03-31,333.74684069035607,345.01179672454344,333.74684069035607,341.2439270019531,428000
2021-04-01,346.6348967062616,355.5715245893412,345.5141917255825,355.0691223144531,507600
2021-04-05,361.2039369240343,366.1118519652448,355.3878945553597,365.2713012695313,378000
2021-04-06,363.8415271899086,370.1599729101813,359.84176822054195,361.851318359375,486500
2021-04-07,358.86602394456816,365.851067042564,358.0351437040374,360.47943115234375,314900
2021-04-08,366.3631442305065,370.20832070760326,361.5132220225119,365.5516052246094,352800
2021-04-09,361.8416342477005,365.1747665982077,355.8130430228185,364.1023559570313,293500
2021-04-12,362.6918621933139,364.7110536276717,355.13678110565314,361.2523498535156,283100
2021-04-13,362.2668351580287,366.3825250812525,358.7211537831865,363.7643127441406,192700
2021-04-14,362.29573447728046,370.0247101461291,356.5956208182451,357.3878479003906,251900
2021-04-15,361.9479099869188,370.6430067798738,361.638743913748,368.6431274414063,237000
2021-04-16,369.1744868717757,373.4254172332592,362.6628348564629,365.7930603027344,322000
2021-04-19,364.2569843734357,366.3631233029831,350.47043374883964,357.0787048339844,238900
2021-04-20,358.0351309724459,358.81768739556657,349.678181976945,351.9389038085937,266600
2021-04-21,350.55736966364606,365.0685113267044,349.8520899974257,364.7786865234375,234900
