Date,Date.1,Open,High,Low,Close,Volume
2020-01-14,300.0632629394531,327.45001220703125,328.6199951171875,326.8399963378906,327.4700012207031,62832800
2020-01-15,300.7413330078125,328.19000244140625,329.0199890136719,327.260009765625,327.3500061035156,72056600
2020-01-16,303.2429504394531,330.9200134277344,330.9200134277344,329.45001220703125,329.70001220703125,54050300
2020-01-17,304.18682861328125,331.95001220703125,332.17999267578125,330.8500061035156,331.70001220703125,95846000
2020-01-21,303.5910949707031,331.29998779296875,332.17999267578125,330.82000732421875,330.8999938964844,77742400
2020-01-22,303.6278686523437,331.3399963378906,332.95001220703125,331.1700134277344,332.239990234375,48914900
2020-01-23,303.9760437011719,331.7200012207031,332.1700134277344,329.4100036621094,330.6300048828125,51963000
2020-01-24,301.2727966308594,328.7699890136719,332.5299987792969,327.3599853515625,332.44000244140625,87578400
2020-01-27,296.4436340332031,323.5,325.1199951171875,322.6600036621094,323.0299987792969,84062500
2020-01-28,299.5501403808594,326.8900146484375,327.8500061035156,323.6000061035156,325.0599975585937,63834000
2020-01-29,299.3026733398437,326.6199951171875,328.6300048828125,326.3999938964844,328.3800048828125,53888900
2020-01-30,300.27398681640625,327.67999267578125,327.9100036621094,323.5400085449219,324.3599853515625,75491800
2020-01-31,294.8216247558594,321.7300109863281,327.1700134277344,320.7300109863281,327.0,113845600
2020-02-03,297.0116577148437,324.1199951171875,326.1600036621094,323.2200012207031,323.3500061035156,69083000
2020-02-04,301.5385437011719,329.0599975585937,330.010009765625,327.7200012207031,328.07000732421875,62573200
2020-02-05,305.0206604003906,332.8599853515625,333.0899963378906,330.6700134277344,332.2699890136719,65951100
2020-02-06,306.0469970703125,333.9800109863281,334.19000244140625,332.79998779296875,333.9100036621094,50359700
2020-02-07,304.416015625,332.20001220703125,333.989990234375,331.6000061035156,332.82000732421875,64139400
2020-02-10,306.68853759765625,334.67999267578125,334.75,331.19000244140625,331.2300109863281,42070000
2020-02-11,307.2199401855469,335.260009765625,337.0199890136719,334.67999267578125,336.1600036621094,54864500
2020-02-12,309.1993713378906,337.4200134277344,337.6499938964844,336.42999267578125,336.8299865722656,43992700
2020-02-13,308.86944580078125,337.0599975585937,338.1199951171875,335.5599975585937,335.8599853515625,54501900
2020-02-14,309.3641967773437,337.6000061035156,337.7300109863281,336.20001220703125,337.510009765625,64582200
2020-02-18,308.56707763671875,336.7300109863281,337.6700134277344,335.2099914550781,336.510009765625,57226200
2020-02-19,310.0424194335937,338.3399963378906,339.0799865722656,337.4800109863281,337.7900085449219,48814700
2020-02-20,308.7687072753906,336.95001220703125,338.6400146484375,333.67999267578125,337.739990234375,74163400
